sedametro,sedametroname,avg_test_all,avg_test_ecd,avg_test_nec,metro_or_micro,perurban,perell,perspeced,pernam,perasn,perhsp,perblk,perwht,perecd,totenrl,perbaplus,perunemp,perpoverty
10100,"Aberdeen, SD",0.212208345,-0.048955384,0.351655079,Micro,0,2.1036127,14.295959,5.1249542,1.5881019,2.7211673,1.6220441,88.943733,41.33279,2719.6,26.21806,2.4341207,11.283274
10140,"Aberdeen, WA",-0.23448203,-0.410183531,0.098526943,Micro,0,5.4088149,15.048578,6.7834868,1.448143,18.639559,1.1195652,72.009247,62.561302,4706.3,14.997691,9.6861944,15.942776
10180,"Abilene, TX",0.002389496,-0.258517835,0.341889662,Metro,65.583992,2.7449007,11.025028,0.41483617,1.5275265,33.678371,8.6738024,55.705463,56.744637,12617.8,21.553722,4.6732197,15.683253
10220,"Ada, OK",-0.082985626,-0.264523248,0.190231043,Micro,0,1.8483582,15.959936,37.138344,0.6590181,6.5763416,2.5636153,53.062683,59.902847,3020.3,26.460325,5.474618,17.826115
10300,"Adrian, MI",-0.046558593,-0.265576349,0.116658251,Micro,0,0.28613141,13.347774,0.41964507,0.54045123,9.0103378,1.7056484,88.323914,42.206566,5653.1,19.854832,7.4044914,12.161842
10420,"Akron, OH",0.148568398,-0.268708147,0.504956866,Metro,24.630878,1.8837736,14.207576,0.12438548,3.1311626,2.0152211,18.023024,76.706207,47.147961,43787.85,29.52387,6.982697,13.012918
10460,"Alamogordo, NM",-0.117730243,-0.302999447,0.253459534,Micro,0,5.3246613,15.143967,4.9712772,1.8571612,38.357338,6.0190144,48.795208,66.123154,3378.5,17.443033,8.1019669,20.001659
10500,"Albany, GA",-0.303447986,-0.437449058,0.277348403,Metro,44.429363,1.2200199,9.0485487,0.24862638,1.0639989,2.1735179,66.342438,30.171421,79.982796,12453.2,18.64134,11.255449,23.353804
10540,"Albany, OR",-0.192585611,-0.382120251,0.087998268,Metro,26.013407,2.9832201,14.395982,1.3672365,0.87517482,14.140224,0.72807395,82.88929,59.429222,7848.6,17.659855,7.6879592,14.696881
10580,"Albany-Schenectady-Troy, NY",0.079782797,-0.457744555,0.382338949,Metro,23.20277,1.809211,15.240868,0.15686598,5.8257432,6.0624161,12.833354,75.12162,36.139339,54426.65,34.447796,5.4465079,10.357388
10620,"Albemarle, NC",0.024969134,-0.233091019,0.319579728,Micro,0,3.5143304,16.841461,0.2260865,3.4193273,7.5113883,13.743155,75.100037,53.214882,4125.4,15.542993,7.4182878,13.820669
10660,"Albert Lea, MN",0.07861515,-0.226740398,0.393313738,Micro,0,5.1252003,17.557739,0.18415853,2.6166019,16.894045,2.2665646,78.038628,50.185631,1837.3,15.696423,4.7743034,10.574074
10700,"Albertville, AL",-0.111737626,-0.347362531,0.274155859,Micro,0,6.7722282,7.9155416,0.3003062,0.54803562,20.721207,2.2013881,76.229065,61.354088,7787.6,16.982395,5.7323999,20.93117
10740,"Albuquerque, NM",-0.282482324,-0.529932827,0.271244972,Metro,55.88253,13.726605,14.445703,5.6371341,1.8742263,64.398666,2.4703031,25.619665,68.556244,61935.5,30.499924,6.5010996,16.098663
10780,"Alexandria, LA",-0.280650036,-0.465807071,0.210541938,Metro,36.232803,1.499892,12.233062,0.62604421,1.1532614,2.6272593,40.748989,54.844444,72.577255,12352.2,18.56629,6.8797679,18.622133
10820,"Alexandria, MN",0.447474052,0.150589992,0.605168661,Micro,0,0.233707,17.088995,0.3595131,0.81230813,1.9615157,1.0936974,95.772964,34.853848,2410.4,23.023386,4.3328495,9.933814
10860,"Alice, TX",-0.339884714,-0.467885624,-0.000672517,Micro,0,3.6761017,9.1007891,0.11716626,0.37149981,86.126274,0.33485249,13.050206,72.71933,3804.3,11.266975,6.1860723,23.634102
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.108057519,-0.302291701,0.410553053,Metro,23.420759,3.8772154,16.613247,0.14536485,3.4143493,23.087887,7.9194412,65.432953,41.996399,56047.8,27.097527,6.3510714,9.8956699
10940,"Alma, MI",-0.093059546,-0.308216268,0.145091286,Micro,0,0.87414968,14.441835,0.47466314,0.41967961,8.1118736,1.250759,89.743027,51.908554,2914.55,13.471227,8.4159737,17.124538
10980,"Alpena, MI",-0.148772963,-0.335360863,0.082362263,Micro,0,0.25775498,11.386766,0.49077696,0.47615775,0.89158511,0.60940915,97.532066,55.294628,1822.45,16.431444,7.3462834,14.932951
11020,"Altoona, PA",0.138374728,-0.140635308,0.418190051,Metro,32.542336,0.27497798,18.293177,0.11042355,0.66335428,1.0936968,4.2520542,93.880478,49.571819,8100.1,19.028917,5.9952879,13.909647
11060,"Altus, OK",-0.012871234,-0.222034673,0.315596727,Micro,0,5.2229581,11.616715,2.6042616,1.3820364,33.674805,8.1720572,54.16684,61.246429,2111.4,20.423267,5.9828682,18.462332
